subj,phase,trial,stim,stim_type,f1,f2,c,resp,corr,rt,f1_is,e_is
x101,learn,273,L25,learn,-1.07384,-0.62,0,1,0,1.256135,angle,0
x101,learn,274,L18,learn,-0.38636,0.10352,1,1,1,2.578265,angle,0
x101,learn,275,L14,learn,0.38636,0.10352,1,1,1,0.98744,angle,0
x101,learn,276,L16,learn,0,0.64,1,0,0,1.260435,angle,0
x101,learn,277,L5,learn,1.07384,0.62,0,0,1,1.8119,angle,0
x101,learn,278,L1,learn,-0.38636,-0.10352,1,1,1,1.00852,angle,0
x101,learn,279,L10,learn,0,1.84,0,0,1,0.76449,angle,0
x101,learn,280,L8,learn,1.84,0,0,0,1,5.492705,angle,0
x101,learn,281,L26,learn,-1.07384,0.62,0,0,1,0.969985,angle,0
x101,learn,282,L13,learn,-0.62,-1.07384,0,0,1,4.386785,angle,0
x101,learn,283,L19,learn,-0.10352,-0.38636,1,1,1,0.967475,angle,0
x101,learn,284,L4,learn,-0.452544,0.452544,1,0,0,1.81481,angle,0
x101,learn,285,L31,learn,0.38636,-0.10352,1,1,1,1.305065,angle,0
x101,learn,286,L2,learn,0.452544,0.452544,1,0,0,1.2387,angle,0
x101,learn,287,L32,learn,0.10352,-0.38636,1,1,1,0.88172,angle,0
x101,learn,288,L20,learn,0.10352,0.38636,1,0,0,1.50497,angle,0
x101,learn,289,L20,learn,0.10352,0.38636,1,1,1,1.77449,angle,0
x101,learn,290,L14,learn,0.38636,0.10352,1,1,1,1.090325,angle,0
x101,learn,291,L21,learn,-1.301064,-1.301064,0,0,1,4.672925,angle,0
x101,learn,292,L26,learn,-1.07384,0.62,0,0,1,0.87219,angle,0
x101,learn,293,L4,learn,-0.452544,0.452544,1,0,0,1.428665,angle,0
x101,learn,294,L31,learn,0.38636,-0.10352,1,1,1,0.957995,angle,0
x101,learn,295,L22,learn,1.07384,-0.62,0,1,0,1.390285,angle,0
x101,learn,296,L32,learn,0.10352,-0.38636,1,1,1,0.948255,angle,0
x101,learn,297,L5,learn,1.07384,0.62,0,0,1,0.723465,angle,0
x101,learn,298,L28,learn,-0.64,0,1,0,0,1.071055,angle,0
x101,learn,299,L8,learn,1.84,0,0,1,0,0.535385,angle,0
x101,learn,300,L16,learn,0,0.64,1,0,0,1.491475,angle,0
x101,learn,301,L3,learn,0.62,1.07384,0,0,1,5.144775,angle,0
x101,learn,302,L30,learn,0,-1.84,0,0,1,1.102325,angle,0
x101,learn,303,L7,learn,-0.10352,0.38636,1,0,0,2.446855,angle,0
x101,learn,304,L6,learn,0.62,-1.07384,0,0,1,2.092915,angle,0
x101,learn,305,L17,learn,-0.452544,-0.452544,1,1,1,0.602395,angle,0
x101,learn,306,L2,learn,0.452544,0.452544,1,0,0,1.791805,angle,0
x101,learn,307,L25,learn,-1.07384,-0.62,0,1,0,1.16971,angle,0
x101,learn,308,L24,learn,-0.62,1.07384,0,0,1,0.68815,angle,0
x101,learn,309,L13,learn,-0.62,-1.07384,0,0,1,6.211845,angle,0
x101,learn,310,L10,learn,0,1.84,0,0,1,2.614295,angle,0
x101,learn,311,L19,learn,-0.10352,-0.38636,1,1,1,4.180965,angle,0
x101,learn,312,L9,learn,0,-0.64,1,1,1,1.323775,angle,0
x101,learn,313,L12,learn,0.452544,-0.452544,1,1,1,0.85362,angle,0
x101,learn,314,L18,learn,-0.38636,0.10352,1,1,1,2.295495,angle,0
x101,learn,315,L1,learn,-0.38636,-0.10352,1,1,1,1.02238,angle,0
x101,learn,316,L23,learn,1.301064,1.301064,0,0,1,0.770575,angle,0
x101,learn,317,L29,learn,-1.84,0,0,1,0,2.596355,angle,0
x101,learn,318,L11,learn,0.64,0,1,1,1,0.666455,angle,0
x101,learn,319,L15,learn,-1.301064,1.301064,0,0,1,0.884605,angle,0
x101,learn,320,L27,learn,1.301064,-1.301064,0,0,1,4.740385,angle,0
x101,learn,321,L1,learn,-0.38636,-0.10352,1,1,1,2.018445,angle,0
x101,learn,322,L29,learn,-1.84,0,0,0,1,3.854125,angle,0
x101,learn,323,L5,learn,1.07384,0.62,0,0,1,0.790765,angle,0
x101,learn,324,L30,learn,0,-1.84,0,0,1,0.69654,angle,0
x101,learn,325,L4,learn,-0.452544,0.452544,1,0,0,0.72239,angle,0
x101,learn,326,L2,learn,0.452544,0.452544,1,1,1,1.394,angle,0
x101,learn,327,L22,learn,1.07384,-0.62,0,1,0,1.424915,angle,0
x101,learn,328,L14,learn,0.38636,0.10352,1,1,1,3.193705,angle,0
x101,learn,329,L11,learn,0.64,0,1,1,1,4.41604,angle,0
x101,learn,330,L21,learn,-1.301064,-1.301064,0,0,1,1.053835,angle,0
x101,learn,331,L13,learn,-0.62,-1.07384,0,0,1,1.72518,angle,0
x101,learn,332,L27,learn,1.301064,-1.301064,0,0,1,0.736985,angle,0
x101,learn,333,L24,learn,-0.62,1.07384,0,0,1,0.767705,angle,0
x101,learn,334,L32,learn,0.10352,-0.38636,1,1,1,1.99267,angle,0
x101,learn,335,L16,learn,0,0.64,1,0,0,2.708525,angle,0
x101,learn,336,L7,learn,-0.10352,0.38636,1,1,1,2.445845,angle,0
x101,learn,337,L12,learn,0.452544,-0.452544,1,1,1,1.27298,angle,0
x101,learn,338,L10,learn,0,1.84,0,0,1,0.755095,angle,0
x101,learn,339,L15,learn,-1.301064,1.301064,0,0,1,1.559115,angle,0
x101,learn,340,L31,learn,0.38636,-0.10352,1,1,1,1.19369,angle,0
x101,learn,341,L17,learn,-0.452544,-0.452544,1,1,1,1.03667,angle,0
x101,learn,342,L8,learn,1.84,0,0,1,0,2.02646,angle,0
x101,learn,343,L28,learn,-0.64,0,1,1,1,4.11033,angle,0
x101,learn,344,L23,learn,1.301064,1.301064,0,0,1,1.707935,angle,0
x101,learn,345,L9,learn,0,-0.64,1,1,1,3.129685,angle,0
x101,learn,346,L19,learn,-0.10352,-0.38636,1,1,1,1.12126,angle,0
x101,learn,347,L25,learn,-1.07384,-0.62,0,1,0,0.620025,angle,0
